year,state,type,energySrc,amount,region
2003,AK,Total Electric Power Industry,Hydroelectric Conventional,1582536,west
2003,AK,Total Electric Power Industry,Natural Gas,3354482,west
2003,AK,Total Electric Power Industry,Other Biomass,5019,west
2003,AK,Total Electric Power Industry,Petroleum,846274,west
2003,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,758,west
2003,AK,"Electric Generators, Electric Utilities",Total,5673462,west
2003,AK,"Electric Generators, Electric Utilities",Coal,167555,west
2003,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1582536,west
2003,AK,"Electric Generators, Electric Utilities",Natural Gas,3147997,west
2003,AK,"Electric Generators, Electric Utilities",Petroleum,775374,west
2003,AK,"combined Heat and Power, Industrial Power",Total,272934,west
2003,AK,"combined Heat and Power, Industrial Power",Natural Gas,206485,west
2003,AK,"combined Heat and Power, Industrial Power",Other Biomass,5019,west
2003,AK,"combined Heat and Power, Industrial Power",Petroleum,61430,west
2003,AK,"combined Heat and Power, Electric Power",Total,162478,west
2003,AK,"combined Heat and Power, Electric Power",Coal,162478,west
2003,AK,"combined Heat and Power, Commercial Power",Total,229859,west
2003,AK,"combined Heat and Power, Commercial Power",Coal,219631,west
2003,AK,"combined Heat and Power, Commercial Power",Petroleum,9470,west
2003,AK,"combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,758,west
2004,AK,Total Electric Power Industry,Total,6526717,west
2004,AK,Total Electric Power Industry,Coal,648980,west
2004,AK,Total Electric Power Industry,Hydroelectric Conventional,1498020,west
2004,AK,Total Electric Power Industry,Natural Gas,3623433,west
2004,AK,Total Electric Power Industry,Other Biomass,8828,west
2004,AK,Total Electric Power Industry,Petroleum,747068,west
2004,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,389,west
2004,AK,"Electric Generators, Electric Utilities",Total,5866420,west
2004,AK,"Electric Generators, Electric Utilities",Coal,211075,west
2004,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1498020,west
2004,AK,"Electric Generators, Electric Utilities",Natural Gas,3475477,west
2004,AK,"Electric Generators, Electric Utilities",Petroleum,681848,west
2004,AK,"combined Heat and Power, Industrial Power",Total,209047,west
2004,AK,"combined Heat and Power, Industrial Power",Natural Gas,147956,west
2004,AK,"combined Heat and Power, Industrial Power",Other Biomass,8828,west
2004,AK,"combined Heat and Power, Industrial Power",Petroleum,52263,west
2004,AK,"combined Heat and Power, Electric Power",Total,182145,west
2004,AK,"combined Heat and Power, Electric Power",Coal,182145,west
2004,AK,"combined Heat and Power, Commercial Power",Total,269105,west
2004,AK,"combined Heat and Power, Commercial Power",Coal,255760,west
2004,AK,"combined Heat and Power, Commercial Power",Petroleum,12957,west
2004,AK,"combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,389,west
2005,AK,Total Electric Power Industry,Total,6576659,west
2005,AK,Total Electric Power Industry,Coal,624318,west
2005,AK,Total Electric Power Industry,Hydroelectric Conventional,1463942,west
2005,AK,Total Electric Power Industry,Natural Gas,3723626,west
2005,AK,Total Electric Power Industry,Other Biomass,4873,west
2005,AK,Total Electric Power Industry,Petroleum,758929,west
2005,AK,Total Electric Power Industry,Wind,589,west
